城市,维度,经度,开始时间,休息时间,hasArtwork,门店名,门店号,邮编
兰州市,36.504707,103.618088,6:00:00,21:30:00,False,兰州中川机场店,52438-281554,730000.0
兰州市,36.061108000000004,103.870931,7:30:00,23:00:00,False,兰州市欣大百货店,56295-290190,730000.0
兰州市,36.063614,103.86220300000001,7:30:00,23:00:00,False,兰州城关万达店,24777-238531,730000.0
兰州市,36.05559,103.84577900000001,7:30:00,23:00:00,False,兰州平凉路BHG店,52779-282484,730000.0
兰州市,36.051879,103.844903,7:30:00,23:00:00,False,兰州东方红国芳百货店,25923-241626,730000.0
兰州市,36.059996999999996,103.81800600000001,7:30:00,23:00:00,False,兰州亚欧商厦店,47232-255726,730000.0
兰州市,36.068133,103.774313,7:30:00,23:00:00,False,兰州市兰州中心门店,51350-268764,730000.0
兰州市,36.070357,103.765617,7:30:00,23:00:00,False,兰州七里河中天健广场店,58314-291872,730000.0
齐齐哈尔市,47.366553,123.950698,9:00:00,21:00:00,False,齐齐哈尔万达广场店,55196-289026,161000.0
哈尔滨,45.876235,126.56008999999999,10:00:00,21:00:00,False,哈尔滨杉杉奥莱店,54375-286626,150000.0
哈尔滨,45.785526000000004,126.67695400000001,9:00:00,21:00:00,False,哈尔滨道外百盛店,24778-238525,150000.0
哈尔滨,45.809549,126.53860700000001,9:00:00,21:00:00,False,哈尔滨华润万象汇店,58854-293141,150000.0
哈尔滨,45.804734,126.506161,9:30:00,21:00:00,False,哈尔滨万达茂咖啡店,51624-278705,150000.0
哈尔滨,45.778909999999996,126.616727,8:30:00,21:30:00,False,哈尔滨百盛店,17605-180984,150000.0
哈尔滨,45.778987,126.61801100000001,9:00:00,21:30:00,False,哈尔滨英迪格酒店,57393-291453,150000.0
哈尔滨,45.760063,126.60593600000001,9:00:00,21:30:00,False,哈尔滨汇丽广场咖啡店,50283-273905,150000.0
哈尔滨,45.738884000000006,126.557181,9:30:00,21:00:00,False,哈尔滨远大群力咖啡店,23061-225404,150010.0
哈尔滨,45.73683,126.541504,9:30:00,21:00:00,False,哈尔滨银泰城咖啡店,60149-294421,150000.0
哈尔滨,45.771757,126.620498,9:30:00,21:00:00,False,哈尔滨金安广场店,16560-169988,150000.0
哈尔滨,45.770285,126.619743,8:00:00,21:30:00,False,哈尔滨松雷店,16412-169986,150000.0
哈尔滨,45.770127,126.624774,8:30:00,21:30:00,False,哈尔滨新一百店,17681-184965,150000.0
哈尔滨,45.734312,126.566594,9:30:00,21:30:00,False,哈尔滨王府井咖啡店,50285-273904,150000.0
哈尔滨,45.7348,126.593621,9:00:00,21:00:00,False,哈尔滨埃德蒙顿凯德店,27417-247257,150000.0
哈尔滨,45.760038,126.646518,9:00:00,21:00:00,False,哈尔滨新锐汇咖啡店,56455-290381,150000.0
哈尔滨,45.721319,126.60919299999999,9:00:00,21:30:00,False,哈尔滨凯德广场学府路店,16759-169987,150000.0
哈尔滨,45.70279,126.593899,9:00:00,21:30:00,False,哈尔滨哈西红博咖啡店,49418-268888,150000.0
哈尔滨,45.700371999999994,126.590324,9:30:00,21:30:00,False,哈尔滨哈西万达咖啡店,20749-207824,150000.0
哈尔滨,45.719703,126.648895,9:00:00,21:00:00,False,哈尔滨乐松咖啡店,23921-233345,150000.0
哈尔滨,45.740409,126.67816699999999,8:30:00,21:00:00,False,哈尔滨衡山万达咖啡店,18601-184966,150000.0
哈尔滨,45.757472,126.69866299999998,9:30:00,21:00:00,False,哈尔滨红博购物公园店,24697-238404,150000.0
哈尔滨,45.754683,126.699044,9:00:00,21:00:00,False,哈尔滨红博会展咖啡店,16216-169990,150000.0
牡丹江市,44.570762,129.601751,9:30:00,21:30:00,False,牡丹江万达广场店,58380-292275,157000.0
大庆市,46.593831,125.09451100000001,8:30:00,21:30:00,False,大庆万达店,23922-233264,163000.0
大庆市,46.63582,124.88564,8:30:00,21:00:00,False,大庆昆仑唐人店,24352-235271,163000.0
